categoria,conducta,fundamento_conducta,fundamento_sancion,UMA_min,UMA_max,pesos_2026_min,pesos_2026_max,puntos,corralon,fundamento_corralon,observaciones,fuente_oficial
documentos,Póliza digital vigente,RTCDMX arts. 46 y 59-II-e,Sin sanción si permite acreditar vigencia,,,,,0,no,No aplica,"El Reglamento exige presentar la póliza vigente; no impone que el soporte sea exclusivamente papel. Conviene que el archivo muestre vigencia, vehículo y aseguradora.",https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
seguridad,"Conductor o acompañante sin casco adecuado, colocado y abrochado",RTCDMX art. 37-III-d,RTCDMX art. 37-III,10,20,1173.10,2346.20,3,si,RTCDMX art. 67-III Bis,"Casco para motocicleta, sin deterioro/fracturas visibles y con certificación aplicable o los cinco elementos técnicos del artículo.",https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
seguridad,Transportar más personas que las autorizadas en la tarjeta,RTCDMX art. 37-III-b,RTCDMX art. 37-III,10,20,1173.10,2346.20,3,si,RTCDMX art. 67-III Bis,Remisión expresa para motocicletas.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
seguridad,Transportar pasajero menor de 12 años,RTCDMX art. 38-III-c,RTCDMX art. 38-III,10,20,1173.10,2346.20,3,si,RTCDMX art. 67-III Bis,Prohibición especial para motocicletas; la excepción del texto es para ciertos VEMEPE de tres o más ruedas.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
seguridad,Transportar menor que no pueda sujetarse o apoyar firmemente los pies,RTCDMX art. 38-III-e/f,RTCDMX art. 38-III,10,20,1173.10,2346.20,3,si,RTCDMX art. 67-III Bis (inciso e),"Para 12 a menores de 18 también rige el inciso f; la remisión expresa del art. 67 menciona c y e, no f: para f aislado, la remisión es jurídicamente discutible.",https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
seguridad,Pasajero entre conductor y manubrio,RTCDMX art. 38-III-d,RTCDMX art. 38-III,10,20,1173.10,2346.20,3,no,No aparece en RTCDMX art. 67-III Bis,NO ES CAUSAL DE CORRALÓN POR SÍ SOLA.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,Circular entre carriles con vehículos en movimiento,RTCDMX art. 21-IV,RTCDMX art. 21-IV,10,20,1173.10,2346.20,1,no,No aparece en RTCDMX art. 67-III Bis,NO ES CAUSAL DE CORRALÓN POR SÍ SOLA.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,Filtrar con tránsito completamente detenido para colocarse visible al frente,RTCDMX art. 21-IV,Permitido si no se invade el paso peatonal,,,,,0,no,No aplica,La excepción permite avanzar entre carriles sólo con tránsito detenido y para colocarse en área de espera o lugar visible.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,"Circular por banqueta, paso o área exclusiva peatonal",RTCDMX art. 21-I,RTCDMX art. 21-I,10,20,1173.10,2346.20,1,no,No aparece en RTCDMX art. 67-III Bis,NO ES CAUSAL DE CORRALÓN POR SÍ SOLA. Para entrar a domicilio/estacionamiento hay que desmontar.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,Circular por ciclovía exclusiva,RTCDMX art. 21-II,RTCDMX art. 21-II,20,30,2346.20,3519.30,6,si,RTCDMX art. 67-III Bis,Remisión expresa.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,Circular por carril confinado de transporte público (Metrobús/Trolebús cuando esté confinado),RTCDMX arts. 21-III y 11-X-a,RTCDMX art. 21-III,20,30,2346.20,3519.30,6,si,RTCDMX art. 67-III Bis; también 67-I Bis para art. 11-X-a,Remisión expresa.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,Moto menor de 250 cc en carriles centrales de vía de acceso controlado,RTCDMX art. 21-V,RTCDMX art. 21-V,10,20,1173.10,2346.20,3,no,No aparece en RTCDMX art. 67-III Bis,NO ES CAUSAL DE CORRALÓN POR SÍ SOLA. Sí puede usar laterales salvo señalamiento.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,Circular en segundo nivel de vía de acceso controlado,RTCDMX art. 21-VI,RTCDMX art. 21-VI,10,20,1173.10,2346.20,3,no,No aparece en RTCDMX art. 67-III Bis,Prohibido para todas las motocicletas; NO ES CAUSAL DE CORRALÓN POR SÍ SOLA.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,"Maniobras riesgosas, cortes de circulación o cambios abruptos",RTCDMX art. 21-VII,RTCDMX art. 21-VII,10,20,1173.10,2346.20,3,otra_consecuencia,No aparece en RTCDMX art. 67-III Bis,NO ES CAUSAL DE CORRALÓN POR SÍ SOLA; un hecho que constituya delito puede implicar puesta a disposición.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,Exceso de velocidad,RTCDMX art. 9,RTCDMX art. 9,10,20,1173.10,2346.20,3,no,No aparece como causal autónoma en RTCDMX art. 67,En zonas calmadas/escolares puede haber 6 puntos; por sistema tecnológico son 1–5 puntos a matrícula. NO ES CAUSAL POR SÍ SOLA.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,Pasarse la luz roja del semáforo,RTCDMX art. 10-VI,RTCDMX art. 10-VI,10,20,1173.10,2346.20,3,no,No aparece en RTCDMX art. 67,Entre 23:00 y 05:00 puede continuarse tras alto total y verificación de seguridad. NO ES CAUSAL POR SÍ SOLA.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,Vuelta continua donde no está expresamente permitida,RTCDMX art. 10-X,RTCDMX art. 10-X,10,20,1173.10,2346.20,3,no,No aparece en RTCDMX art. 67,NO ES CAUSAL DE CORRALÓN POR SÍ SOLA.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,Circular en sentido contrario,RTCDMX art. 8-IV,RTCDMX art. 8-IV,10,20,1173.10,2346.20,3,no,No aparece en RTCDMX art. 67,NO ES CAUSAL DE CORRALÓN POR SÍ SOLA.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
circulacion,"Estacionarse sobre banqueta, cruce peatonal o ciclovía",RTCDMX art. 30-I/XIX,RTCDMX art. 30,10,20,1173.10,2346.20,3,condicionado,"RTCDMX art. 67-II, si no está el conductor o se niega a retirar","Corralón condicionado: si el conductor está y retira la moto, no se actualiza esa condición adicional.",https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
seguridad,Usar teléfono celular en movimiento,RTCDMX art. 38-II-e,RTCDMX art. 38-II-e,30,35,3519.30,4105.85,3,no,No aparece en RTCDMX art. 67,Además prevé un punto a la matrícula. NO ES CAUSAL DE CORRALÓN POR SÍ SOLA.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
seguridad,Usar audífonos al conducir,RTCDMX art. 38-II-d (posible distractor),Interpretación jurídica no concluyente,,,,,0,condicionado,No hay causal expresa,El Reglamento no menciona expresamente “audífonos”. Sólo serían sancionables si la autoridad funda y motiva que constituyeron un objeto distractor; no debe inventarse una prohibición autónoma.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
seguridad,Circular sin luces delanteras y traseras encendidas en todo momento,RTCDMX art. 37-III-a,RTCDMX art. 37-III,5,10,586.55,1173.10,1,no,No aparece en RTCDMX art. 67,NO ES CAUSAL DE CORRALÓN POR SÍ SOLA.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
seguridad,No portar aditamentos luminosos o bandas reflejantes de noche,RTCDMX art. 37-III-c,RTCDMX art. 37-III,5,10,586.55,1173.10,1,no,No aparece en RTCDMX art. 67,NO ES CAUSAL DE CORRALÓN POR SÍ SOLA.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
seguridad,"Fallas en faros, freno, direccionales, espejos o neumáticos exigibles",RTCDMX art. 40-II,RTCDMX art. 40-II,5,10,586.55,1173.10,0,no,No aparece en RTCDMX art. 67,Se aplica según la naturaleza de la motocicleta. NO ES CAUSAL DE CORRALÓN POR SÍ SOLA.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
alcohol,Superar 0.8 g/L en sangre o 0.4 mg/L en aire espirado,RTCDMX arts. 50 y 51,Arresto inconmutable 20–36 horas,,,,,6,si,RTCDMX arts. 50 y 51-I-g,"Remisión expresa, salvo las excepciones del art. 68. No es una multa UMA al conductor por la alcoholemia.",https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
alcohol,"Conducir bajo narcóticos, estupefacientes o psicotrópicos",RTCDMX arts. 50 y 52,Arresto inconmutable 20–36 horas,,,,,6,si,RTCDMX arts. 50 y 52,Requiere certificación médica en el procedimiento descrito.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
alcohol,Negarse a prueba de alcoholemia,"RTCDMX art. 50, tercer párrafo; protocolo Acuerdo 59/2017",Interpretación jurídica no concluyente,,,,,0,no,No hay causal autónoma de remisión sólo por negativa en el RTCDMX,La obligación de someterse se activa cuando se cometen infracciones o existen síntomas; en punto formal opera el procedimiento del art. 51 y protocolo. No se inventa una multa autónoma.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
otros,"Vehículo con multas económicas impagas de más de 30 días, detenido por una nueva infracción",RTCDMX art. 67-I,La de la nueva infracción y adeudos,,,,,0,si,RTCDMX art. 67-I,Causal adicional de remisión; no convierte retroactivamente cada infracción previa en corralón.,https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
otros,"NIV alterado, placa/documentación presuntamente falsa o reporte de robo",RTCDMX arts. 59-II-b y 65; legislación penal aplicable,No es una multa de tránsito tipificada de forma autónoma,,,,,0,otra_consecuencia,"Aseguramiento/puesta a disposición conforme al procedimiento penal, no art. 67 como simple infracción","La autoridad debe verificar reporte y, si hay probable delito, poner a disposición del Ministerio Público. Factura/carta factura puede ser evidencia de propiedad, no documento ordinario de circulación.",https://data.consejeria.cdmx.gob.mx/images/leyes/2025/181225/REGLAMENTO_DE_TRNSITO_DE_LA_CIUDAD_DE_MXICO_6.4.pdf
